,contagem
X,51.0
COMPRA,51.0
VIRAL,51.0
ADULTOS,51.0
INDIOS,51.0
SUICIDIO,51.0
TRATA,51.0
PARQUE,51.0
EFEITO,51.0
RAZAO,51.0
ASSOCIACAO,51.0
DESENVOLVER,51.0
ESPERA,51.0
PUBLICAS,51.0
SANITARIAS,50.0
REINO,50.0
DEPARTAMENTO,50.0
ALTO,50.0
METADE,50.0
MARCELO,50.0
MAL,50.0
INSTAGRAM,50.0
FOCO,50.0
COMPLETA,50.0
ESTRESSE,50.0
SANTOS,50.0
CLINICOS,50.0
LIDAR,50.0
TEMPERATURA,50.0
FORCA,50.0
CONFINAMENTO,49.0
COMUNICADO,49.0
BAIRROS,49.0
EUROPA,49.0
ULTIMAS,49.0
APLICATIVO,49.0
AGLOMERACOES,49.0
QUALIDADE,49.0
ORGAOS,49.0
FATORES,49.0
TV,49.0
INDIGENAS,49.0
RESTAURANTES,49.0
PRESENTE,49.0
ANTERIORES,49.0
LOS,49.0
LEMBRA,49.0
ACOMPANHAMENTO,49.0
LEVA,49.0
CHICUNGUNHA,49.0
MATO,49.0
NOSSOS,49.0
ROBERTO,49.0
FILHA,49.0
ESTRATEGIA,48.0
ACOMPANHA,48.0
UNICO,48.0
TEMA,48.0
US,48.0
ITALIA,48.0
PODERA,48.0
PRAIAS,48.0
VIRTUAL,48.0
AGENTES,48.0
CRUZ,48.0
UNIDO,48.0
POLITICAS,47.0
DESAFIO,47.0
GROSSO,47.0
COMISSAO,47.0
REACAO,47.0
T,47.0
MP,47.0
AMERICA,47.0
ASSUNTO,47.0
SUSPEITA,47.0
SP,47.0
CRESCIMENTO,47.0
CHAMADO,47.0
PARECE,47.0
RJ,46.0
PARTICIPANTES,46.0
CHAMADA,46.0
REALMENTE,46.0
CARGA,46.0
CLINICAS,46.0
RESPOSTAS,46.0
MORREU,46.0
ARTE,46.0
AMERICANO,46.0
MOSTRAM,46.0
PRESENCA,46.0
RUAS,46.0
REFERENCIA,46.0
DEVERIA,46.0
FORTE,46.0
GESTAO,46.0
PLANOS,46.0
VOLTOU,46.0
PRESOS,46.0
ITEM,46.0
POUCOS,46.0
DIVERSAS,46.0
DORES,45.0
POLICIAIS,45.0
FAMILIAS,45.0
COMECO,45.0
EXPERIENCIA,45.0
TELEFONE,45.0
TWITTER,45.0
COLOCAR,45.0
RECENTE,45.0
PECA,45.0
LEVANTAMENTO,45.0
REALIDADE,45.0
REMEDIOS,45.0
WIDTH,45.0
BLOCK,45.0
MOTIVO,45.0
DECORRENCIA,45.0
PARCERIA,45.0
SANGUE,45.0
S,45.0
CONFIRMADOS,45.0
ADOLESCENTES,45.0
NITEROI,45.0
FUNCAO,45.0
MUDANCAS,44.0
SABIA,44.0
CONHECIDO,44.0
CAMPO,44.0
NIVEIS,44.0
BOLETIM,44.0
ACHO,44.0
PRATICA,44.0
CONTRIBUINTE,44.0
PROTEGER,44.0
FLAMENGO,44.0
ESPACOS,44.0
CIENTIFICA,44.0
COMUNICACAO,44.0
COBERTURA,44.0
YORK,44.0
GLOBAL,44.0
BASTANTE,44.0
BUTANTAN,44.0
VERDADE,44.0
POTENCIAL,44.0
IDEIA,43.0
RECORDE,43.0
EXPOSICAO,43.0
PESQUISADOR,43.0
ESPETACULO,43.0
DESTACA,43.0
PERDA,43.0
PRAIA,43.0
OCORRER,43.0
PROCURAR,43.0
MINISTROS,43.0
TENHAM,43.0
BANCO,43.0
AEDES,43.0
OF,43.0
AMAZONIA,43.0
TRANSPORTE,43.0
CONSIDERADO,43.0
REMEDIO,43.0
RODRIGO,43.0
POSTOS,43.0
REPORTAGEM,43.0
CIRCULACAO,43.0
VIAGEM,43.0
REPUBLICA,43.0
COSTA,43.0
CUIDADO,43.0
EVIDENCIAS,43.0
LEFT,43.0
CONTAS,42.0
PROXIMA,42.0
BAIXO,42.0
EXECUTIVO,42.0
FAMILIARES,42.0
CONTRARIO,42.0
PROVAVELMENTE,42.0
TRUMP,42.0
PROJETOS,42.0
GERAIS,42.0
MORADORES,42.0
CAMINHO,42.0
TRATAR,42.0
MORTALIDADE,42.0
EMERGENCIAL,42.0
GOVERNOS,42.0
BUSCA,42.0
SERVIDORES,42.0
NORMALMENTE,42.0
DIVERSOS,42.0
PRESENCIAIS,42.0
PIOR,41.0
DEIXOU,41.0
OESTE,41.0
WHATSAPP,41.0
MILITAR,41.0
RELATORIO,41.0
RESPEITO,41.0
VIU,41.0
LINHA,41.0
MOSQUITO,41.0
PORTARIA,41.0
PANTANAL,41.0
SURTOS,41.0
ORGANISMO,41.0
PAGAMENTO,41.0
ACONTECER,41.0
DETERMINA,41.0
MINAS,40.0
ONLINE,40.0
INSTITUICAO,40.0
FUX,40.0
ELEICOES,40.0
REINFECCAO,40.0
CONFIRA,40.0
HAVER,40.0
ABRIR,40.0
AGENCIAS,40.0
ALERTAM,40.0
GEL,40.0
MEDICAMENTO,40.0
EFICAZ,40.0
DISPONIVEIS,40.0
DIABETES,40.0
PODEMOS,40.0
SALA,40.0
FECHADO,40.0
DOM,40.0
DIZENDO,40.0
FRANGO,40.0
CINEMA,40.0
ONTEM,40.0
FOGO,39.0
COMUNS,39.0
INTERNACAO,39.0
VIDEOS,39.0
AUXILIO,39.0
CIENTIFICO,39.0
HUMANO,39.0
SINAIS,39.0
CONSEGUIR,39.0
INSTITUICOES,39.0
ANTONIO,39.0
RECOMENDACAO,39.0
CHEGA,39.0
RESPIRATORIOS,39.0
AUTORES,39.0
RESTRICOES,39.0
DEBATE,39.0
OBRAS,39.0
LEVE,39.0
TRAZ,39.0
IN,39.0
FESTA,39.0
SITUACOES,39.0
SEGUINTE,39.0
ARTICLE,39.0
LIVROS,39.0
TRANSTORNO,39.0
SABEMOS,38.0
PREVE,38.0
MORRERAM,38.0
CONSUMO,38.0
CLINICO,38.0
REABRIR,38.0
ESCREVEU,38.0
AFIRMAM,38.0
VE,38.0
LEVES,38.0
PEDRO,38.0
TRABALHANDO,38.0
MOSTROU,38.0
CENTRAL,38.0
COMECA,38.0
CHINESA,38.0
MUDAR,38.0
CONTINUAM,38.0
REAL,38.0
NOTICIA,38.0
SI,38.0
MARCA,38.0
MILHARES,38.0
FREQUENCIA,38.0
ORIENTACAO,38.0
PROFESSORES,38.0
TIPOS,38.0
CONSEGUIU,38.0
REUNIAO,38.0
FERNANDO,38.0
CASAS,38.0
ARTIGO,38.0
MENINA,37.0
BUSCAR,37.0
CRIACAO,37.0
COORDENADOR,37.0
BOCA,37.0
ATUACAO,37.0
PARTICIPACAO,37.0
USUARIOS,37.0
MAR,37.0
ANIMAIS,37.0
DIARIO,37.0
PRODUTO,37.0
RECUPERACAO,37.0
ESPECIALMENTE,37.0
TROCA,37.0
ESSENCIAIS,37.0
FATOR,37.0
PRODUZIR,37.0
TIRAR,37.0
TEMPORADA,37.0
CIRCULAM,37.0
ESPANHA,37.0
PRIMEIRAS,37.0
DIVULGADO,37.0
AGUDA,37.0
TERAPIA,37.0
FUTEBOL,37.0
BANHO,37.0
QUESTOES,36.0
SYMPLA,36.0
INTERIOR,36.0
TERRITORIO,36.0
MHAB,36.0
DADO,36.0
BR,36.0
ISRAEL,36.0
TRABALHA,36.0
HISTORICO,36.0
CARIOCA,36.0
CAIXA,36.0
PODERAO,36.0
MOSTRAR,36.0
TERCEIRA,36.0
AGRAVAMENTO,36.0
JOGOS,36.0
COMUNIDADE,36.0
ORIENTACOES,36.0
RECENTEMENTE,35.0
JOGO,35.0
CONTRATO,35.0
RECOMENDACOES,35.0
NEYMAR,35.0
TEREM,35.0
ARMA,35.0
DUVIDAS,35.0
CHANCES,35.0
SEI,35.0
PERGUNTAS,35.0
ACOMPANHAR,35.0
COMPORTAMENTO,35.0
DISSERAM,35.0
PROTOCOLO,35.0
SUCESSO,35.0
GUERRA,35.0
PORTA,35.0
IMPORTANTES,35.0
CONTEXTO,35.0
MAO,35.0
